Gene stable ID,Transcript stable ID,UniProtKB/TrEMBL ID,Plant Reactome Reaction ID
AT5G61850,AT5G61850.1,A0A023T4L8,
AT4G18780,AT4G18780.1,A0A068FHR7,R-ATH-1119314
AT5G05880,AT5G05880.1,A0A068FHS2,R-ATH-1119473
AT3G19280,AT3G19280.1,A0A068FIL1,
AT5G44030,AT5G44030.1,A0A068FIL6,
AT5G64740,AT5G64740.1,A0A068FJJ5,
AT1G24070,AT1G24070.1,A0A068FJK1,
AT2G46480,AT2G46480.4,A0A068FL09,
AT1G70290,AT1G70290.1,A0A068FL15,R-ATH-1119516
AT1G05670,AT1G05670.3,A0A068FPW3,
AT1G05670,AT1G05670.2,A0A068FPW3,
AT1G05670,AT1G05670.1,A0A068FPW3,
AT4G27550,AT4G27550.1,A0A068FPW7,
AT4G18240,AT4G18240.1,A0A068FPX2,R-ATH-1119477
AT3G50450,AT3G50450.1,A0A068LKP4,
AT3G50480,AT3G50480.1,A0A068LKP7,
AT3G61540,AT3G61540.1,A0A068LMZ4,
AT3G50460,AT3G50460.1,A0A068LMZ6,
AT3G50470,AT3G50470.1,A0A068LRU9,
AT5G38420,AT5G38420.1,A0A075M3N4,R-ATH-1119519
AT5G38420,AT5G38420.1,A0A075M3N4,R-ATH-1119312
AT5G38420,AT5G38420.1,A0A075M4Z6,R-ATH-1119519
AT5G38420,AT5G38420.1,A0A075M4Z6,R-ATH-1119312
ATCG00490,ATCG00490.1,A0A075M556,R-ATH-1119312
AT1G67090,AT1G67090.1,A0A075M569,R-ATH-1119519
AT1G67090,AT1G67090.1,A0A075M569,R-ATH-1119312
AT1G07670,AT1G07670.2,A0A076,
AT2G21045,AT2G21045.1,A0A076JTS7,
AT2G21045,AT2G21045.1,A0A076JTT8,
AT2G21045,AT2G21045.1,A0A076JV56,
AT2G21045,AT2G21045.1,A0A076JYS1,
AT2G21045,AT2G21045.1,A0A076JZ47,
AT2G21045,AT2G21045.1,A0A076JZ61,
AT2G21045,AT2G21045.1,A0A076K006,
AT2G21045,AT2G21045.1,A0A076K021,
AT1G76670,AT1G76670.1,A0A076LAS9,
AT1G76670,AT1G76670.2,A0A076LAS9,
AT4G00900,AT4G00900.2,A0A077,
AT4G00900,AT4G00900.1,A0A078,
ATCG01130,ATCG01130.1,A0A088PZK8,
ATMG00090,ATMG00090.1,A0A088QCV9,
AT2G05120,AT2G05120.2,A0A089G293,
AT5G05770,AT5G05770.1,A0A089VA62,
AT4G24620,AT4G24620.1,A0A090MHY5,R-ATH-1119410
AT4G24620,AT4G24620.1,A0A090MHY5,R-ATH-1119477
